Title,BibTex,DOI,Authors,Year,Fields,Link
Development and validation of a mathematical model to simulate human cardiovascular and respiratory responses to battlefield trauma,"@Article{Jin2022DevelopmentAV,
 author = {Xin Jin and S. Laxminarayan and Sridevi Nagaraja and A. Wallqvist and J. Reifman},
 journal = {International Journal for Numerical Methods in Biomedical Engineering},
 title = {Development and validation of a mathematical model to simulate human cardiovascular and respiratory responses to battlefield trauma},
 volume = {39},
 year = {2022}
}
",10.3389/fphys.2022.1060591,"['Xin Jin', 'S. Laxminarayan', 'Sridevi Nagaraja', 'A. Wallqvist', 'J. Reifman']",2022.0,Medicine,https://www.semanticscholar.org/paper/7b094caf978b1eff0483d722b85e02fd51e56b86
Prediction of Heart and Liver Iron Overload in β-Thalassemia Major Patients Using Machine Learning Methods,"@Article{Asmarian2022PredictionOH,
 author = {Naeimehossadat Asmarian and Alireza Kamalipour and Mahnaz Hosseini-bensenjan and M. Karimi and S. Haghpanah},
 journal = {Hemoglobin},
 pages = {303 - 307},
 title = {Prediction of Heart and Liver Iron Overload in β-Thalassemia Major Patients Using Machine Learning Methods},
 volume = {46},
 year = {2022}
}
",10.1002/cnm.3662,"['Naeimehossadat Asmarian', 'Alireza Kamalipour', 'Mahnaz Hosseini-bensenjan', 'M. Karimi', 'S. Haghpanah']",2022.0,Medicine,https://www.semanticscholar.org/paper/0c5bbc1b1c770eb274b062ea374e3857e850e1b9
Machine learning prediction model for post- hepatectomy liver failure in hepatocellular carcinoma: A multicenter study,"@Article{Wang2022MachineLP,
 author = {Jitao Wang and Tian-lei Zheng and Y. Liao and S. Geng and Jinlong Li and Zhanguo Zhang and D. Shang and Chengyu Liu and YU Peng and Yifei Huang and Chuan Liu and Yanna Liu and Shanghao Liu and Mingguang Wang and Dengxiang Liu and Hongrui Miao and Shuangyan Li and Biao Zhang and Anliang Huang and Yehui Zhang and Xianghui Qi and Shubo Chen},
 journal = {Frontiers in Oncology},
 title = {Machine learning prediction model for post- hepatectomy liver failure in hepatocellular carcinoma: A multicenter study},
 volume = {12},
 year = {2022}
}
",10.1080/03630269.2022.2158100,"['Jitao Wang', 'Tian-lei Zheng', 'Y. Liao', 'S. Geng', 'Jinlong Li', 'Zhanguo Zhang', 'D. Shang', 'Chengyu Liu', 'YU Peng', 'Yifei Huang', 'Chuan Liu', 'Yanna Liu', 'Shanghao Liu', 'Mingguang Wang', 'Dengxiang Liu', 'Hongrui Miao', 'Shuangyan Li', 'Biao Zhang', 'Anliang Huang', 'Yehui Zhang', 'Xianghui Qi', 'Shubo Chen']",2022.0,Medicine,https://www.semanticscholar.org/paper/46eb7244785463fa6ef174f0b55d43fc6a55c6e9
Artificial Intelligence/Machine Learning and Mechanistic Modeling Approaches as Translational Tools to Advance Personalized Medicine Decisions,"@Article{Mystridis2022ArtificialIL,
 author = {George A. Mystridis and F. Chatzopoulou and G. Patrinos and I. Vizirianakis},
 journal = {Advances in Molecular Pathology},
 title = {Artificial Intelligence/Machine Learning and Mechanistic Modeling Approaches as Translational Tools to Advance Personalized Medicine Decisions},
 year = {2022}
}
",10.3389/fonc.2022.986867,"['George A. Mystridis', 'F. Chatzopoulou', 'G. Patrinos', 'I. Vizirianakis']",2022.0,,https://www.semanticscholar.org/paper/f7b66eb78e319f19eb5b370d3d7cbbec3a38c178
Virtual Image-based Biopsy of Lung Metastases: The Promise of Radiomics.,"@Article{Gill2022VirtualIB,
 author = {R. Gill},
 journal = {Academic radiology},
 title = {Virtual Image-based Biopsy of Lung Metastases: The Promise of Radiomics.},
 year = {2022}
}
",10.1016/j.yamp.2022.06.003,['R. Gill'],2022.0,Medicine,https://www.semanticscholar.org/paper/cb20aa999acfdf7877bc4f2d4acdd6df8114c260
Application of Machine and Deep Learning Algorithms in Optical Microscopic Detection of Plasmodium Parasites: A Malaria Diagnostic Tool for the Future.,"@Article{Ikerionwu2022ApplicationOM,
 author = {C. Ikerionwu and C. Ugwuishiwu and Izunna Okpala and Idara James and Matthew C. Okoronkwo and Charles Nnadi and U. Orji and Deborah Ebem and A. Ike},
 journal = {Photodiagnosis and photodynamic therapy},
 pages = {
          103198
        },
 title = {Application of Machine and Deep Learning Algorithms in Optical Microscopic Detection of Plasmodium Parasites: A Malaria Diagnostic Tool for the Future.},
 year = {2022}
}
",10.1016/j.acra.2022.10.030,"['C. Ikerionwu', 'C. Ugwuishiwu', 'Izunna Okpala', 'Idara James', 'Matthew C. Okoronkwo', 'Charles Nnadi', 'U. Orji', 'Deborah Ebem', 'A. Ike']",2022.0,Medicine,https://www.semanticscholar.org/paper/1f0506c388b2bd1350afe72d384a2f484b2f9ec1
A Machine Learning Technique for Detection of Diabetes Mellitus,"@Article{Awoniran2022AML,
 author = {O. Awoniran and M. Oyelami and Rhoda Ikono and R. Famutimi and T. Famutimi},
 journal = {2022 5th Information Technology for Education and Development (ITED)},
 pages = {1-6},
 title = {A Machine Learning Technique for Detection of Diabetes Mellitus},
 year = {2022}
}
",10.1016/j.pdpdt.2022.103198,"['O. Awoniran', 'M. Oyelami', 'Rhoda Ikono', 'R. Famutimi', 'T. Famutimi']",2022.0,,https://www.semanticscholar.org/paper/f72220be55345f92ffe98affaca821db9cc14b8b
A comparative analysis of eight machine learning models for the prediction of lateral lymph node metastasis in patients with papillary thyroid carcinoma,"@Article{Feng2022ACA,
 author = {Jia-wei Feng and J. Ye and G.-F. Qi and Li-Zhao Hong and Fei Wang and Sheng-Yong Liu and Yong Jiang},
 journal = {Frontiers in Endocrinology},
 title = {A comparative analysis of eight machine learning models for the prediction of lateral lymph node metastasis in patients with papillary thyroid carcinoma},
 volume = {13},
 year = {2022}
}
",10.1109/ITED56637.2022.10051439,"['Jia-wei Feng', 'J. Ye', 'G.-F. Qi', 'Li-Zhao Hong', 'Fei Wang', 'Sheng-Yong Liu', 'Yong Jiang']",2022.0,Medicine,https://www.semanticscholar.org/paper/f87b6089b5d9f4db67ddef8f7509d7fcf91b8d8b
A survey of data element perspective: Application of artificial intelligence in health big data,"@Article{Xiong2022ASO,
 author = {Honglin Xiong and Hongmin Chen and Li Xu and Hong Liu and Lumin Fan and Qifeng Tang and Hsunfang Cho},
 journal = {Frontiers in Neuroscience},
 title = {A survey of data element perspective: Application of artificial intelligence in health big data},
 volume = {16},
 year = {2022}
}
",10.3389/fendo.2022.1004913,"['Honglin Xiong', 'Hongmin Chen', 'Li Xu', 'Hong Liu', 'Lumin Fan', 'Qifeng Tang', 'Hsunfang Cho']",2022.0,Medicine,https://www.semanticscholar.org/paper/9768b0b78137788860582028169e96272df5abd6
Predicting the influence of Circ_0059706 expression on prognosis in patients with acute myeloid leukemia using classical statistics and machine learning,"@Article{Ma2022PredictingTI,
 author = {Jichun Ma and Xiang-Mei Wen and Zijun Xu and Pei-hui Xia and Ye Jin and Jiang Lin and J. Qian},
 journal = {Frontiers in Genetics},
 title = {Predicting the influence of Circ_0059706 expression on prognosis in patients with acute myeloid leukemia using classical statistics and machine learning},
 volume = {13},
 year = {2022}
}
",10.3389/fnins.2022.1031732,"['Jichun Ma', 'Xiang-Mei Wen', 'Zijun Xu', 'Pei-hui Xia', 'Ye Jin', 'Jiang Lin', 'J. Qian']",2022.0,Medicine,https://www.semanticscholar.org/paper/ea7c7604c102687769c7982b63b426fdc9b3dd00
Automated machine learning‐based model for the prediction of delirium in patients after surgery for degenerative spinal disease,"@Article{Zhang2022AutomatedML,
 author = {Yu Zhang and Dong-Hua Wan and Min Chen and Yun Li and H. Ying and Ge-Liang Yao and Zhi-li Liu and G. Zhang},
 journal = {CNS Neuroscience & Therapeutics},
 pages = {282 - 295},
 title = {Automated machine learning‐based model for the prediction of delirium in patients after surgery for degenerative spinal disease},
 volume = {29},
 year = {2022}
}
",10.3389/fgene.2022.961142,"['Yu Zhang', 'Dong-Hua Wan', 'Min Chen', 'Yun Li', 'H. Ying', 'Ge-Liang Yao', 'Zhi-li Liu', 'G. Zhang']",2022.0,Medicine,https://www.semanticscholar.org/paper/9ce4b77ab64b23dc54995d06042a87fff202a17f
Distinguish the Value of the Benign Nevus and Melanomas Using Machine Learning: A Meta-Analysis and Systematic Review,"@Article{Li2022DistinguishTV,
 author = {S. Li and Yihang Chu and Ying Wang and Yantong Wang and Shipeng Hu and Xiangye Wu and Xinwei Qi},
 journal = {Mediators of Inflammation},
 title = {Distinguish the Value of the Benign Nevus and Melanomas Using Machine Learning: A Meta-Analysis and Systematic Review},
 volume = {2022},
 year = {2022}
}
",10.1111/cns.14002,"['S. Li', 'Yihang Chu', 'Ying Wang', 'Yantong Wang', 'Shipeng Hu', 'Xiangye Wu', 'Xinwei Qi']",2022.0,Medicine,https://www.semanticscholar.org/paper/5c5915d9756050059244a9bc84aa72acbc0db963
Gradient boosting decision tree becomes more reliable than logistic regression in predicting probability for diabetes with big data,"@Article{Seto2022GradientBD,
 author = {Hiroe Seto and A. Oyama and S. Kitora and Hiroshi Toki and Ryohei Yamamoto and J. Kotoku and Akihiro Haga and Maki Shinzawa and M. Yamakawa and Sakiko Fukui and T. Moriyama},
 journal = {Scientific Reports},
 title = {Gradient boosting decision tree becomes more reliable than logistic regression in predicting probability for diabetes with big data},
 volume = {12},
 year = {2022}
}
",10.1155/2022/1734327,"['Hiroe Seto', 'A. Oyama', 'S. Kitora', 'Hiroshi Toki', 'Ryohei Yamamoto', 'J. Kotoku', 'Akihiro Haga', 'Maki Shinzawa', 'M. Yamakawa', 'Sakiko Fukui', 'T. Moriyama']",2022.0,Medicine,https://www.semanticscholar.org/paper/ece68247cce49cce83882e9ee795b4aa9b16a2ac
Artificial intelligence in pancreatic cancer,"@Article{Huang2022ArtificialII,
 author = {B. Huang and Haoran Huang and Shuting Zhang and Dingyue Zhang and Qingya Shi and Jianzhou Liu and Junchao Guo},
 journal = {Theranostics},
 pages = {6931 - 6954},
 title = {Artificial intelligence in pancreatic cancer},
 volume = {12},
 year = {2022}
}
",10.1038/s41598-022-20149-z,"['B. Huang', 'Haoran Huang', 'Shuting Zhang', 'Dingyue Zhang', 'Qingya Shi', 'Jianzhou Liu', 'Junchao Guo']",2022.0,Medicine,https://www.semanticscholar.org/paper/04f28b0b26b212cb2de6dbd30fa6a2be2c4fab19
A Pilot Study of Augmented Intelligence Risk-Based Stratification for Endocrine Surgical Waiting List Prioritisation,"@Article{Jegatheeswaran2022APS,
 author = {L. Jegatheeswaran and N. Tolley},
 journal = {Cureus},
 title = {A Pilot Study of Augmented Intelligence Risk-Based Stratification for Endocrine Surgical Waiting List Prioritisation},
 volume = {14},
 year = {2022}
}
",10.7150/thno.77949,"['L. Jegatheeswaran', 'N. Tolley']",2022.0,Medicine,https://www.semanticscholar.org/paper/e554a533a7df96e1137f019a0dfb7da334931603
Machine Learning in Predicting Tooth Loss: A Systematic Review and Risk of Bias Assessment,"@Article{Hasuike2022MachineLI,
 author = {Akira Hasuike and Taito Watanabe and Shin Wakuda and Keisuke Kogure and Ryosuke Yanagiya and K. Byrd and Shuichi Sato},
 journal = {Journal of Personalized Medicine},
 title = {Machine Learning in Predicting Tooth Loss: A Systematic Review and Risk of Bias Assessment},
 volume = {12},
 year = {2022}
}
",10.7759/cureus.29973,"['Akira Hasuike', 'Taito Watanabe', 'Shin Wakuda', 'Keisuke Kogure', 'Ryosuke Yanagiya', 'K. Byrd', 'Shuichi Sato']",2022.0,Medicine,https://www.semanticscholar.org/paper/f322bf372c869ab51dbeb51ef32528d3090a687b
Accurate neural network classification model for schizophrenia disease based on electroencephalogram data,"@Article{Luján2022AccurateNN,
 author = {M. Luján and J.M. Sotos and J. Santos and Alejandro L. Borja},
 journal = {International Journal of Machine Learning and Cybernetics},
 pages = {861-872},
 title = {Accurate neural network classification model for schizophrenia disease based on electroencephalogram data},
 volume = {14},
 year = {2022}
}
",10.3390/jpm12101682,"['M. Luján', 'J.M. Sotos', 'J. Santos', 'Alejandro L. Borja']",2022.0,Computer Science,https://www.semanticscholar.org/paper/3279ca9a0e6d725bab59e69f7fdc8d70c4b961e3
Novel Genetic Risk and Metabolic Signatures of Insulin Signaling and Androgenesis in the Anovulation of Polycystic Ovary Syndrome,"@Article{Wu2022NovelGR,
 author = {Xiaoke Wu and C. Wang and Yijuan Cao and Jian Li and Zhiqiang Li and Hongli Ma and Jing-shu Gao and Hui Chang and Duojia Zhang and Jing Cong and Yu Wang and Qi Wu and Xiao-xiao Han and P. W. Chung and Yiran Li and Xuezhi Zheng and Lingxi Chen and Lin Zeng and A. Borchert and H. Kuhn and Zijiang Chen and E. Ng and E. Stener-Victorin and Heping Zhang and R. Legro and B. Mol and Yongyong Shi},
 journal = {Engineering},
 title = {Novel Genetic Risk and Metabolic Signatures of Insulin Signaling and Androgenesis in the Anovulation of Polycystic Ovary Syndrome},
 year = {2022}
}
",10.1007/s13042-022-01668-7,"['Xiaoke Wu', 'C. Wang', 'Yijuan Cao', 'Jian Li', 'Zhiqiang Li', 'Hongli Ma', 'Jing-shu Gao', 'Hui Chang', 'Duojia Zhang', 'Jing Cong', 'Yu Wang', 'Qi Wu', 'Xiao-xiao Han', 'P. W. Chung', 'Yiran Li', 'Xuezhi Zheng', 'Lingxi Chen', 'Lin Zeng', 'A. Borchert', 'H. Kuhn', 'Zijiang Chen', 'E. Ng', 'E. Stener-Victorin', 'Heping Zhang', 'R. Legro', 'B. Mol', 'Yongyong Shi']",2022.0,,https://www.semanticscholar.org/paper/487474a824a02eee13f0c814d80cf186c2a23fe8
Barriers and Opportunities Regarding Implementation of a Machine Learning-Based Acute Heart Failure Risk Stratification Tool in the Emergency Department,"@Article{Sax2022BarriersAO,
 author = {D. Sax and Lillian R. Sturmer and D. Mark and J. Rana and M. Reed},
 journal = {Diagnostics},
 title = {Barriers and Opportunities Regarding Implementation of a Machine Learning-Based Acute Heart Failure Risk Stratification Tool in the Emergency Department},
 volume = {12},
 year = {2022}
}
",10.1016/j.eng.2022.08.013,"['D. Sax', 'Lillian R. Sturmer', 'D. Mark', 'J. Rana', 'M. Reed']",2022.0,Medicine,https://www.semanticscholar.org/paper/52ef97636fa79937260e476fb67c71ff877c27a2
Machine Learning Models for Predicting the Risk of Hard-to-Heal Diabetic Foot Ulcers in a Chinese Population,"@Article{Wang2022MachineLM,
 author = {Shiqi Wang and Chao Xia and Qirui Zheng and A. Wang and Qian Tan},
 journal = {Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy},
 pages = {3347 - 3359},
 title = {Machine Learning Models for Predicting the Risk of Hard-to-Heal Diabetic Foot Ulcers in a Chinese Population},
 volume = {15},
 year = {2022}
}
",10.3390/diagnostics12102463,"['Shiqi Wang', 'Chao Xia', 'Qirui Zheng', 'A. Wang', 'Qian Tan']",2022.0,Medicine,https://www.semanticscholar.org/paper/e0b53d57938113f852e1aacfe211b17a65fc3c74
"Hierarchical and nested associations of suicide with marriage, social support, quality of life, and depression among the elderly in rural China: Machine learning of psychological autopsy data","@Article{Chen2022HierarchicalAN,
 author = {Xinguang Chen and Qiqing Mo and Bin Yu and Xinyu Bai and C. Jia and Liang Zhou and Zhenyu Ma},
 journal = {Frontiers in Psychiatry},
 title = {Hierarchical and nested associations of suicide with marriage, social support, quality of life, and depression among the elderly in rural China: Machine learning of psychological autopsy data},
 volume = {13},
 year = {2022}
}
",10.2147/DMSO.S383960,"['Xinguang Chen', 'Qiqing Mo', 'Bin Yu', 'Xinyu Bai', 'C. Jia', 'Liang Zhou', 'Zhenyu Ma']",2022.0,Medicine,https://www.semanticscholar.org/paper/0e8bcee2dec2fcf1c0ec51e165803fa327a0ad88
"Development of a novel dementia risk prediction model in the general population: A large, longitudinal, population-based machine-learning study","@Article{You2022DevelopmentOA,
 author = {Jia You and Ya-Ru Zhang and Huifu Wang and Ming Yang and Jianfeng Feng and Jin Yu and W. Cheng},
 journal = {eClinicalMedicine},
 title = {Development of a novel dementia risk prediction model in the general population: A large, longitudinal, population-based machine-learning study},
 volume = {53},
 year = {2022}
}
",10.3389/fpsyt.2022.1000026,"['Jia You', 'Ya-Ru Zhang', 'Huifu Wang', 'Ming Yang', 'Jianfeng Feng', 'Jin Yu', 'W. Cheng']",2022.0,Medicine,https://www.semanticscholar.org/paper/56478e12f9fc0cd25afce8656590a27e9df4a2ec
Applications of machine learning in tumor-associated macrophages,"@Article{Li2022ApplicationsOM,
 author = {Zhen Li and Qijun Yu and Qingyuan Zhu and Xiaojing Yang and Zhaobin Li and J. Fu},
 journal = {Frontiers in Immunology},
 title = {Applications of machine learning in tumor-associated macrophages},
 volume = {13},
 year = {2022}
}
",10.1016/j.eclinm.2022.101665,"['Zhen Li', 'Qijun Yu', 'Qingyuan Zhu', 'Xiaojing Yang', 'Zhaobin Li', 'J. Fu']",2022.0,Medicine,https://www.semanticscholar.org/paper/79a1e8026f4b7a94dda6a6f13088a0591b1b22d1
Spatio-temporal spread and evolution of influenza A (H7N9) viruses,"@Article{Shi2022SpatiotemporalSA,
 author = {Zhibin Shi and Lili Wei and Pengfei Wang and Shida Wang and Zaisi Liu and Yongping Jiang and Jingfei Wang},
 journal = {Frontiers in Microbiology},
 title = {Spatio-temporal spread and evolution of influenza A (H7N9) viruses},
 volume = {13},
 year = {2022}
}
",10.3389/fimmu.2022.985863,"['Zhibin Shi', 'Lili Wei', 'Pengfei Wang', 'Shida Wang', 'Zaisi Liu', 'Yongping Jiang', 'Jingfei Wang']",2022.0,Medicine,https://www.semanticscholar.org/paper/a202163a02c02fc8a2b8d0ae5dce8c8d4279d16a
"Machine learning for identifying benign and malignant of thyroid tumors: A retrospective study of 2,423 patients","@Article{Guo2022MachineLF,
 author = {Yuan-yuan Guo and Zhi-jie Li and Chao Du and J. Gong and P. Liao and Jiaxing Zhang and Cong Shao},
 journal = {Frontiers in Public Health},
 title = {Machine learning for identifying benign and malignant of thyroid tumors: A retrospective study of 2,423 patients},
 volume = {10},
 year = {2022}
}
",10.3389/fmicb.2022.1002522,"['Yuan-yuan Guo', 'Zhi-jie Li', 'Chao Du', 'J. Gong', 'P. Liao', 'Jiaxing Zhang', 'Cong Shao']",2022.0,Medicine,https://www.semanticscholar.org/paper/3717cc2eab28f14ea024b381c73289b911efecb2
Predicting Overall Survival in Patients with Nonmetastatic Gastric Signet Ring Cell Carcinoma: A Machine Learning Approach,"@Article{Li2022PredictingOS,
 author = {Xiaomei Li and Zhiwei Chen and Jing Lin and Shouan Wang and Conghua Song},
 journal = {Computational and Mathematical Methods in Medicine},
 title = {Predicting Overall Survival in Patients with Nonmetastatic Gastric Signet Ring Cell Carcinoma: A Machine Learning Approach},
 volume = {2022},
 year = {2022}
}
",10.3389/fpubh.2022.960740,"['Xiaomei Li', 'Zhiwei Chen', 'Jing Lin', 'Shouan Wang', 'Conghua Song']",2022.0,Medicine,https://www.semanticscholar.org/paper/2937c6e188530e35e4005d24650e1b9b04f233a1
Medical Data Classification Assisted by Machine Learning Strategy,"@Article{Wang2022MedicalDC,
 author = {Lei Wang and Keqiang Zuo},
 journal = {Computational and Mathematical Methods in Medicine},
 title = {Medical Data Classification Assisted by Machine Learning Strategy},
 volume = {2022},
 year = {2022}
}
",10.1155/2022/4862376,"['Lei Wang', 'Keqiang Zuo']",2022.0,Medicine,https://www.semanticscholar.org/paper/dff7b5d9a5c201b4e2f8b2e27f8a622a39fe061b
A Scoping Review of the Use of Machine Learning in Health Economics and Outcomes Research: Part 1-Data From Wearable Devices.,"@Article{Lee2022ASR,
 author = {W. Lee and N. Schwartz and A. Bansal and S. Khor and N. Hammarlund and A. Basu and B. Devine},
 journal = {Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research},
 title = {A Scoping Review of the Use of Machine Learning in Health Economics and Outcomes Research: Part 1-Data From Wearable Devices.},
 year = {2022}
}
",10.1155/2022/9699612,"['W. Lee', 'N. Schwartz', 'A. Bansal', 'S. Khor', 'N. Hammarlund', 'A. Basu', 'B. Devine']",2022.0,Medicine,https://www.semanticscholar.org/paper/82306f625e5b0e58d1f670768fac996fa5d0b340
Predicting the prevalence of lung cancer using feature transformation techniques,"@Article{Munawar2022PredictingTP,
 author = {Zunaira Munawar and Fahad Ahmad and Saad Awadh Alanazi and K. Nisar and M. Khalid and Muhammad Anwar and Kashif Murtaza},
 journal = {Egyptian Informatics Journal},
 title = {Predicting the prevalence of lung cancer using feature transformation techniques},
 year = {2022}
}
",10.1016/j.jval.2022.08.005,"['Zunaira Munawar', 'Fahad Ahmad', 'Saad Awadh Alanazi', 'K. Nisar', 'M. Khalid', 'Muhammad Anwar', 'Kashif Murtaza']",2022.0,,https://www.semanticscholar.org/paper/fa84dad43a62abee0f7f1e7e16b8d8817daf445e
Simple Method to Predict Insulin Resistance in Children Aged 6–12 Years by Using Machine Learning,"@Article{Zhang2022SimpleMT,
 author = {Qian Zhang and N. Wan},
 journal = {Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy},
 pages = {2963 - 2975},
 title = {Simple Method to Predict Insulin Resistance in Children Aged 6–12 Years by Using Machine Learning},
 volume = {15},
 year = {2022}
}
",10.1016/j.eij.2022.08.002,"['Qian Zhang', 'N. Wan']",2022.0,Medicine,https://www.semanticscholar.org/paper/cd985f1bb73d980152d748fbc2f63d3a5de8b15c
Etiology of Macular Edema Defined by Deep Learning in Optical Coherence Tomography Scans,"@Article{Padilla-Pantoja2022EtiologyOM,
 author = {Fabio Daniel Padilla-Pantoja and Yeison D. Sanchez and B. A. Quijano-Nieto and Oscar J. Perdomo and Fabio A. González},
 journal = {Translational Vision Science & Technology},
 title = {Etiology of Macular Edema Defined by Deep Learning in Optical Coherence Tomography Scans},
 volume = {11},
 year = {2022}
}
",10.2147/DMSO.S380772,"['Fabio Daniel Padilla-Pantoja', 'Yeison D. Sanchez', 'B. A. Quijano-Nieto', 'Oscar J. Perdomo', 'Fabio A. González']",2022.0,Medicine,https://www.semanticscholar.org/paper/e202eb9533230d9305a44300f7b1760334ed64e3
Correlation between Population Structure and Regional Innovation Ability Based on Big Data Analysis,"@Article{Qin2022CorrelationBP,
 author = {Lulu Qin and Ruofei Lin and R. Gao and Han Lin},
 journal = {Mathematical Problems in Engineering},
 title = {Correlation between Population Structure and Regional Innovation Ability Based on Big Data Analysis},
 year = {2022}
}
",10.1167/tvst.11.9.29,"['Lulu Qin', 'Ruofei Lin', 'R. Gao', 'Han Lin']",2022.0,,https://www.semanticscholar.org/paper/503979610ba628d59b95242637155a2c5515aa0d
SpiCoNET: A Hybrid Deep Learning Model to Diagnose COVID-19 and Pneumonia Using Chest X-Ray Images,"@Article{Tümen2022SpiCoNETAH,
 author = {Vedat Tümen},
 journal = {Traitement du Signal},
 title = {SpiCoNET: A Hybrid Deep Learning Model to Diagnose COVID-19 and Pneumonia Using Chest X-Ray Images},
 year = {2022}
}
",10.1155/2022/7000390,['Vedat Tümen'],2022.0,Medicine,https://www.semanticscholar.org/paper/4a35b9c5c303d44ff1c3aa34a04bc67829aeef27
Development and validation of a prognosis prediction model based on 18 endoplasmic reticulum stress-related genes for patients with lung adenocarcinoma,"@Article{Shu2022DevelopmentAV,
 author = {L. Shu and Shuang Liu and Y. Tao},
 journal = {Frontiers in Oncology},
 title = {Development and validation of a prognosis prediction model based on 18 endoplasmic reticulum stress-related genes for patients with lung adenocarcinoma},
 volume = {12},
 year = {2022}
}
",10.18280/ts.390409,"['L. Shu', 'Shuang Liu', 'Y. Tao']",2022.0,Medicine,https://www.semanticscholar.org/paper/b46dfc7a75f7ee717255e3cfdb6bda49f9453dc1
DWT-SVD Based Watermarking for High-Resolution Medical Holographic Images,"@Article{Horasan2022DWTSVDBW,
 author = {Fahrettin Horasan and Muhammed Ali Pala and Ali Durdu and Akif Akgül and Ö. Akmese and M. Yıldız},
 journal = {Complex.},
 pages = {3154650:1-3154650:21},
 title = {DWT-SVD Based Watermarking for High-Resolution Medical Holographic Images},
 volume = {2022},
 year = {2022}
}
",10.3389/fonc.2022.902353,"['Fahrettin Horasan', 'Muhammed Ali Pala', 'Ali Durdu', 'Akif Akgül', 'Ö. Akmese', 'M. Yıldız']",2022.0,Computer Science,https://www.semanticscholar.org/paper/07fe747c633789f86fb74d2ad5aaf26c751c0b70
A Systematic Review of Polygenic Models for Predicting Drug Outcomes,"@Article{Siemens2022ASR,
 author = {Angela Siemens and S. J. Anderson and S. R. Rassekh and C. Ross and B. Carleton},
 journal = {Journal of Personalized Medicine},
 title = {A Systematic Review of Polygenic Models for Predicting Drug Outcomes},
 volume = {12},
 year = {2022}
}
",10.1155/2022/3154650,"['Angela Siemens', 'S. J. Anderson', 'S. R. Rassekh', 'C. Ross', 'B. Carleton']",2022.0,Medicine,https://www.semanticscholar.org/paper/6d1adf8b7f36e424049a01a19f471d2dd60c1425
Review on Machine Learning Techniques for Medical Data Classification and Disease Diagnosis,"@Article{Saturi2022ReviewOM,
 author = {Swapna Saturi},
 journal = {Regenerative Engineering and Translational Medicine},
 pages = {141 - 164},
 title = {Review on Machine Learning Techniques for Medical Data Classification and Disease Diagnosis},
 volume = {9},
 year = {2022}
}
",10.3390/jpm12091394,['Swapna Saturi'],2022.0,,https://www.semanticscholar.org/paper/97ed2b77d9e1ff6155ba882797635c775dd99f3e
Nomograms and scoring system for forecasting overall and cancer‐specific survival of patients with prostate cancer,"@Article{Zhou2022NomogramsAS,
 author = {Yuan Zhou and Chang-ming Lin and Liang Zhu and Rentao Zhang and Lei Cheng and Yuanyuan Chang},
 journal = {Cancer Medicine},
 pages = {2600 - 2613},
 title = {Nomograms and scoring system for forecasting overall and cancer‐specific survival of patients with prostate cancer},
 volume = {12},
 year = {2022}
}
",10.1007/s40883-022-00273-y,"['Yuan Zhou', 'Chang-ming Lin', 'Liang Zhu', 'Rentao Zhang', 'Lei Cheng', 'Yuanyuan Chang']",2022.0,Medicine,https://www.semanticscholar.org/paper/09ed730e737308c579a8c5019bd160e7088b8ff1
Construction of the prognostic enhancer RNA regulatory network in osteosarcoma,"@Article{Yan2022ConstructionOT,
 author = {Penghui Yan and Zhenyu Li and Shuyuan Xian and Siqiao Wang and Qing Fu and Jiwen Zhu and Xiaosong Yue and Xinkun Zhang and Shao-hua Chen and Wei Zhang and Jianyu Lu and Huabin Yin and Runzhi Huang and Zongqiang Huang},
 journal = {Translational Oncology},
 title = {Construction of the prognostic enhancer RNA regulatory network in osteosarcoma},
 volume = {25},
 year = {2022}
}
",10.1002/cam4.5137,"['Penghui Yan', 'Zhenyu Li', 'Shuyuan Xian', 'Siqiao Wang', 'Qing Fu', 'Jiwen Zhu', 'Xiaosong Yue', 'Xinkun Zhang', 'Shao-hua Chen', 'Wei Zhang', 'Jianyu Lu', 'Huabin Yin', 'Runzhi Huang', 'Zongqiang Huang']",2022.0,Medicine,https://www.semanticscholar.org/paper/5df3a3ea945c2dc5678a999c2f982309c5f82848
Machine Learning for Predicting Hyperglycemic Cases Induced by PD-1/PD-L1 Inhibitors,"@Article{Yang2022MachineLF,
 author = {Jincheng Yang and Ning Li and Weilong Lin and Liming Shi and Ming Deng and Qin Tong and Wenjing Yang},
 journal = {Journal of Healthcare Engineering},
 title = {Machine Learning for Predicting Hyperglycemic Cases Induced by PD-1/PD-L1 Inhibitors},
 volume = {2022},
 year = {2022}
}
",10.1016/j.tranon.2022.101499,"['Jincheng Yang', 'Ning Li', 'Weilong Lin', 'Liming Shi', 'Ming Deng', 'Qin Tong', 'Wenjing Yang']",2022.0,Medicine,https://www.semanticscholar.org/paper/f7b87f7e6b308229ef0caef479d3be326cc33a75
